H GaussMeter (Oe),Mx (emu),,,
-1506.477951,1.63E-01,0.000112655,0.000112655,
-1559.737976,1.57E-01,0.000125999,0.000125999,
-1615.294067,1.50E-01,0.000134981,0.000134981,
-1667.153031,1.43E-01,0.000106572,0.000106572,
-1723.453018,1.37E-01,0.000130155,0.000130155,
-1777.235108,1.30E-01,0.000121973,0.000121973,
-1834.624939,1.23E-01,0.000128607,0.000128607,
-1889.05423,1.16E-01,0.000134547,0.000134547,
-2107.565033,8.66E-02,0.000144314,0.000144314,
-2327.225372,5.49E-02,0.000153947,0.000153947,
-2547.430756,2.10E-02,0.000165882,0.000165882,
-2763.849853,-1.49E-02,0.000185025,0.000185025,
-2973.010956,-5.36E-02,0.000202602,0.000202602,
-3178.833466,-9.53E-02,0.000207817,0.000207817,
-3393.9263,-1.40E-01,0.000226673,0.000226673,
-3601.273102,-1.87E-01,0.000246692,0.000246692,
-3803.954712,-2.37E-01,0.000252282,0.000252282,
-4010.073151,-2.89E-01,0.00026093,0.00026093,
-4213.192932,-3.42E-01,0.00027173,0.00027173,
-4415.599732,-3.97E-01,0.000266221,0.000266221,
-4622.195007,-4.52E-01,0.000261899,0.000261899,
-4828.381165,-5.06E-01,0.000253493,0.000253493,
-5033.515015,-5.58E-01,0.000243267,0.000243267,
-5239.050415,-6.08E-01,0.000241656,0.000241656,
-5437.679627,-6.56E-01,0.000208502,0.000208502,
-5648.708923,-7.00E-01,0.00020828,0.00020828,
-5855.161621,-7.43E-01,0.000181251,0.000181251,
-6059.29834,-7.80E-01,0.000140654,0.000140654,
-7097.303589,-9.26E-01,0.000101201,0.000101201,
-8124.965881,-1.03E+00,7.95531E-05,7.95531E-05,
-9130.583984,-1.11E+00,7.10867E-05,7.10867E-05,
-10115.29749,-1.18E+00,7.1395E-05,7.1395E-05,
-11095.75781,-1.25E+00,6.09529E-05,6.09529E-05,
-12080.12402,-1.31E+00,6.21787E-05,6.21787E-05,
-13045.08435,-1.37E+00,6.23175E-05,6.23175E-05,
-14007.89612,-1.43E+00,5.05805E-05,5.05805E-05,
-14996.42029,-1.48E+00,5.18172E-05,5.18172E-05,
-15961.35083,-1.53E+00,2.99021E-05,2.99021E-05,
-16964.62598,-1.56E+00,6.1036E-05,6.1036E-05,
-17947.65234,-1.62E+00,1.98918E-05,1.98918E-05,
-18953.09058,-1.64E+00,2.23351E-05,2.23351E-05,
-19848.54395,-1.66E+00,0,0,
-19855.19702,-1.66E+00,1.32238E-05,1.32238E-05,
-19098.98486,-1.65E+00,2.65667E-05,2.65667E-05,
-18346.16235,-1.63E+00,3.3039E-05,3.3039E-05,
-17438.14453,-1.60E+00,4.61918E-05,4.61918E-05,
-16572.18945,-1.56E+00,4.70017E-05,4.70017E-05,
-15721.15698,-1.52E+00,4.41461E-05,4.41461E-05,
-14815.07556,-1.48E+00,5.59654E-05,5.59654E-05,
-13921.66675,-1.43E+00,6.48868E-05,6.48868E-05,
-12996.97937,-1.37E+00,6.26159E-05,6.26159E-05,
-12038.75647,-1.31E+00,6.20008E-05,6.20008E-05,
-11071.02722,-1.25E+00,7.18866E-05,7.18866E-05,
-10097.271,-1.18E+00,7.97903E-05,7.97903E-05,
-9094.642456,-1.10E+00,6.88489E-05,6.88489E-05,
-8077.923767,-1.03E+00,7.90508E-05,7.90508E-05,
-7053.266846,-9.49E-01,7.98585E-05,7.98585E-05,
-6852.912353,-9.33E-01,8.04756E-05,8.04756E-05,
-6641.668274,-9.16E-01,7.855E-05,7.855E-05,
-6437.97644,-9.00E-01,8.43557E-05,8.43557E-05,
-6236.448914,-8.83E-01,7.8383E-05,7.8383E-05,
-6032.323059,-8.67E-01,8.7068E-05,8.7068E-05,
-5825.588074,-8.49E-01,7.79016E-05,7.79016E-05,
-5620.200684,-8.33E-01,8.80035E-05,8.80035E-05,
-5415.66333,-8.15E-01,8.39006E-05,8.39006E-05,
-5213.042602,-7.98E-01,8.78935E-05,8.78935E-05,
-5008.249328,-7.80E-01,8.30105E-05,8.30105E-05,
-4803.455994,-7.63E-01,8.31332E-05,8.31332E-05,
-4598.964783,-7.46E-01,8.13739E-05,8.13739E-05,
-4390.052612,-7.29E-01,8.51009E-05,8.51009E-05,
-4178.53894,-7.11E-01,8.505E-05,8.505E-05,
-3966.898712,-6.93E-01,9.21931E-05,9.21931E-05,
-3760.80957,-6.74E-01,8.72635E-05,8.72635E-05,
-3543.078186,-6.55E-01,9.10777E-05,9.10777E-05,
-3323.485504,-6.35E-01,8.96421E-05,8.96421E-05,
-3100.37616,-6.15E-01,9.33202E-05,9.33202E-05,
-2886.060364,-5.95E-01,9.34942E-05,9.34942E-05,
-2832.581085,-5.90E-01,7.39307E-05,7.39307E-05,
-2778.476379,-5.86E-01,9.42076E-05,9.42076E-05,
-2725.4021,-5.81E-01,7.60486E-05,7.60486E-05,
-2672.804138,-5.77E-01,0.000109066,0.000109066,
-2617.791779,-5.71E-01,8.72095E-05,8.72095E-05,
-2560.458557,-5.66E-01,9.95414E-05,9.95414E-05,
-2510.22818,-5.61E-01,0.000104545,0.000104545,
-2452.836426,-5.55E-01,9.12466E-05,9.12466E-05,
-2398.039856,-5.50E-01,8.91196E-05,8.91196E-05,
-2341.935455,-5.45E-01,8.86484E-05,8.86484E-05,
-2285.532868,-5.40E-01,0.000109452,0.000109452,
-2230.714234,-5.34E-01,0.000113565,0.000113565,
-2177.881134,-5.28E-01,5.4343E-05,5.4343E-05,
-2122.67627,-5.25E-01,9.08622E-05,9.08622E-05,
-2067.647888,-5.20E-01,8.59508E-05,8.59508E-05,
-2009.475097,-5.15E-01,0.000108656,0.000108656,
-1954.254791,-5.09E-01,0.000114456,0.000114456,
-1901.832825,-5.03E-01,9.75731E-05,9.75731E-05,
-1840.340439,-4.97E-01,9.21755E-05,9.21755E-05,
-1786.096115,-4.92E-01,9.82153E-05,9.82153E-05,
-1765.732696,-4.90E-01,9.3909E-05,9.3909E-05,
-1744.435486,-4.88E-01,8.84069E-05,8.84069E-05,
-1721.812821,-4.86E-01,0.000134698,0.000134698,
-1699.540772,-4.83E-01,8.6151E-05,8.6151E-05,
-1676.325714,-4.81E-01,9.14366E-05,9.14366E-05,
-1654.452637,-4.79E-01,8.23355E-05,8.23355E-05,
-1630.161789,-4.77E-01,0.000105336,0.000105336,
-1601.681579,-4.74E-01,9.34497E-05,9.34497E-05,
-1580.279694,-4.72E-01,0.000115168,0.000115168,
-1562.913696,-4.70E-01,0.000123777,0.000123777,
-1538.676544,-4.67E-01,8.50782E-05,8.50782E-05,
-1515.168762,-4.65E-01,8.56381E-05,8.56381E-05,
-1491.814667,-4.63E-01,0.000119358,0.000119358,
-1466.680145,-4.60E-01,9.70899E-05,9.70899E-05,
-1446.080673,-4.58E-01,9.19032E-05,9.19032E-05,
-1424.318634,-4.56E-01,0.000113693,0.000113693,
-1397.931702,-4.53E-01,0.000173963,0.000173963,
-1374.938355,-4.49E-01,0.000298845,0.000298845,
-1354.861038,-4.43E-01,7.26332E-05,7.26332E-05,
-1327.325439,-4.41E-01,0.000101377,0.000101377,
-1307.597031,-4.39E-01,0.000142461,0.000142461,
-1286.538605,-4.36E-01,8.20029E-05,8.20029E-05,
-1262.149231,-4.34E-01,6.88973E-05,6.88973E-05,
-1233.120529,-4.32E-01,8.78583E-05,8.78583E-05,
-1210.356598,-4.30E-01,0.000108185,0.000108185,
-1191.869705,-4.28E-01,8.04605E-05,8.04605E-05,
-1167.012802,-4.26E-01,0.000128909,0.000128909,
-1143.74054,-4.23E-01,8.59772E-05,8.59772E-05,
-1120.478561,-4.21E-01,0.000122964,0.000122964,
-1096.081238,-4.18E-01,7.55431E-05,7.55431E-05,
-1069.606293,-4.16E-01,9.36508E-05,9.36508E-05,
-1048.250366,-4.14E-01,0.000129339,0.000129339,
-1025.055542,-4.11E-01,8.22229E-05,8.22229E-05,
-1000.731407,-4.09E-01,0.000126541,0.000126541,
-977.023613,-4.06E-01,7.49168E-05,7.49168E-05,
-950.327347,-4.04E-01,0.000126751,0.000126751,
-926.658814,-4.01E-01,0.000100702,0.000100702,
-906.798157,-3.99E-01,8.99973E-05,8.99973E-05,
-884.575272,-3.97E-01,8.24339E-05,8.24339E-05,
-860.3134,-3.95E-01,0.000137224,0.000137224,
-838.451286,-3.92E-01,0.000121725,0.000121725,
-822.020843,-3.90E-01,8.72047E-05,8.72047E-05,
-799.086311,-3.88E-01,8.81746E-05,8.81746E-05,
-776.404037,-3.86E-01,0.000155883,0.000155883,
-763.573898,-3.84E-01,7.12088E-05,7.12088E-05,
-735.487472,-3.82E-01,0.00010323,0.00010323,
-706.426163,-3.79E-01,0.000125744,0.000125744,
-682.56823,-3.76E-01,0.000103792,0.000103792,
-653.664246,-3.73E-01,0.000103711,0.000103711,
-615.095711,-3.69E-01,0.000105622,0.000105622,
-567.756881,-3.64E-01,0.000111159,0.000111159,
-531.772339,-3.60E-01,0.000104685,0.000104685,
-503.114876,-3.57E-01,0.000110748,0.000110748,
-476.026268,-3.54E-01,8.13261E-05,8.13261E-05,
-451.433914,-3.52E-01,8.69717E-05,8.69717E-05,
-428.437927,-3.50E-01,0.000124968,0.000124968,
-404.431797,-3.47E-01,8.53779E-05,8.53779E-05,
-381.006542,-3.45E-01,0.000106597,0.000106597,
-362.244354,-3.43E-01,9.97296E-05,9.97296E-05,
-342.190128,-3.41E-01,0.00014163,0.00014163,
-328.068821,-3.39E-01,0.000119504,0.000119504,
-302.965073,-3.36E-01,7.95543E-05,7.95543E-05,
-277.82502,-3.34E-01,0.000138311,0.000138311,
-256.134718,-3.31E-01,8.23206E-05,8.23206E-05,
-231.839468,-3.29E-01,0.000149329,0.000149329,
-211.749664,-3.26E-01,7.54998E-05,7.54998E-05,
-185.259512,-3.24E-01,0.000126257,0.000126257,
-161.498373,-3.21E-01,8.90969E-05,8.90969E-05,
-139.050896,-3.19E-01,0.00010548,0.00010548,
-110.609486,-3.16E-01,0.000107015,0.000107015,
-91.920602,-3.14E-01,0.000112219,0.000112219,
-65.187232,-3.11E-01,0.000144061,0.000144061,
-44.362748,-3.08E-01,8.33909E-05,8.33909E-05,
-20.379314,-3.06E-01,0.000122348,0.000122348,
4.140932,-3.03E-01,8.95693E-05,8.95693E-05,
26.469999,-3.01E-01,0.000117206,0.000117206,
52.065945,-2.98E-01,8.26196E-05,8.26196E-05,
76.273265,-2.96E-01,0.000154242,0.000154242,
95.723258,-2.93E-01,7.65762E-05,7.65762E-05,
121.841031,-2.91E-01,0.000135298,0.000135298,
144.01432,-2.88E-01,0.0001184,0.0001184,
169.352245,-2.85E-01,9.6956E-05,9.6956E-05,
189.980154,-2.83E-01,0.000138278,0.000138278,
211.675555,-2.80E-01,0.000106491,0.000106491,
230.456491,-2.78E-01,0.000108186,0.000108186,
258.186443,-2.75E-01,9.0891E-05,9.0891E-05,
280.190815,-2.73E-01,0.000132724,0.000132724,
302.794189,-2.70E-01,9.20743E-05,9.20743E-05,
324.515766,-2.68E-01,0.000130993,0.000130993,
347.417725,-2.65E-01,6.96384E-05,6.96384E-05,
376.137505,-2.63E-01,0.000128538,0.000128538,
399.47694,-2.60E-01,0.000158663,0.000158663,
418.384979,-2.57E-01,7.29911E-05,7.29911E-05,
445.785589,-2.55E-01,0.000130853,0.000130853,
468.712128,-2.52E-01,8.53086E-05,8.53086E-05,
492.156429,-2.50E-01,8.93038E-05,8.93038E-05,
514.551895,-2.48E-01,0.000174069,0.000174069,
531.786445,-2.45E-01,7.10163E-05,7.10163E-05,
559.948982,-2.43E-01,0.000126274,0.000126274,
583.706825,-2.40E-01,0.000111605,0.000111605,
637.467926,-2.34E-01,0.00012766,0.00012766,
692.301079,-2.27E-01,0.000107235,0.000107235,
748.253097,-2.21E-01,0.000103528,0.000103528,
806.208333,-2.15E-01,0.000121998,0.000121998,
863.586349,-2.08E-01,0.000106957,0.000106957,
919.683426,-2.02E-01,0.000114745,0.000114745,
971.973335,-1.96E-01,0.000129322,0.000129322,
1026.101792,-1.89E-01,0.000101536,0.000101536,
1085.194367,-1.83E-01,0.000115719,0.000115719,
1137.044296,-1.77E-01,0.000134959,0.000134959,
1196.321625,-1.69E-01,0.000110567,0.000110567,
1250.587174,-1.63E-01,0.000139102,0.000139102,
1300.909897,-1.56E-01,0.000109325,0.000109325,
1355.792277,-1.50E-01,0.000131153,0.000131153,
1409.165161,-1.43E-01,0.000107838,0.000107838,
1464.804428,-1.37E-01,0.000130489,0.000130489,
1518.448929,-1.30E-01,0.000117216,0.000117216,
1578.167984,-1.23E-01,0.000140442,0.000140442,
1628.010681,-1.16E-01,0.000125183,0.000125183,
1683.928879,-1.09E-01,0.000133791,0.000133791,
1901.432373,-7.99E-02,0.000141875,0.000141875,
2123.4581,-4.84E-02,0.000153267,0.000153267,
2342.030853,-1.49E-02,0.000166491,0.000166491,
2558.259138,2.11E-02,0.000182331,0.000182331,
2769.414001,5.96E-02,0.000201741,0.000201741,
2974.627838,1.01E-01,0.000202781,0.000202781,
3191.61084,1.45E-01,0.000225966,0.000225966,
3395.181305,1.91E-01,0.000236374,0.000236374,
3602.479889,2.40E-01,0.000260344,0.000260344,
3802.215454,2.92E-01,0.000256198,0.000256198,
4005.183136,3.44E-01,0.000267359,0.000267359,
4207.158936,3.98E-01,0.000264965,0.000264965,
4410.959229,4.52E-01,0.000255919,0.000255919,
4618.055908,5.05E-01,0.000254142,0.000254142,
4822.665711,5.57E-01,0.000247232,0.000247232,
5020.859985,6.06E-01,0.000234417,0.000234417,
5221.357727,6.53E-01,0.00021384,0.00021384,
5427.118775,6.97E-01,0.000196172,0.000196172,
5641.216369,7.39E-01,0.000186795,0.000186795,
5839.294251,7.76E-01,0.000140937,0.000140937,
6868.12555,9.21E-01,9.7376E-05,9.7376E-05,
7884.802734,1.02E+00,8.07462E-05,8.07462E-05,
8875.561035,1.10E+00,8.28947E-05,8.28947E-05,
9840.641113,1.18E+00,6.17776E-05,6.17776E-05,
10811.86646,1.24E+00,7.2023E-05,7.2023E-05,
11783.77771,1.31E+00,6.42022E-05,6.42022E-05,
12718.3252,1.37E+00,6.27149E-05,6.27149E-05,
13675.0354,1.43E+00,5.17175E-05,5.17175E-05,
14641.82544,1.48E+00,5.35063E-05,5.35063E-05,
15576.29407,1.53E+00,5.08002E-05,5.08002E-05,
16560.54248,1.58E+00,4.06237E-05,4.06237E-05,
17545.18823,1.62E+00,3.15384E-05,3.15384E-05,
18496.41064,1.65E+00,1.1385E-05,1.1385E-05,
19374.75879,1.66E+00,8.56785E-05,8.56785E-05,
